nombre	provincia	comunidad	y	x	huso	municipio
PLAYA RASO - SESELLE	Coruña (A)	Galicia	4808857.95	562880.3	29	Ares
PLAYA ARES	Coruña (A)	Galicia	4808851.15	561580.79	29	Ares
PLAYA CHANTEIRO	Coruña (A)	Galicia	4810879.87	556425.39	29	Ares
PLAYA VALCOBO	Coruña (A)	Galicia	4796300	537860	29	Arteixo
PLAYA O REIRO	Coruña (A)	Galicia	4795777.08	535815.85	29	Arteixo
PLAYA A HUCHA	Coruña (A)	Galicia	4796526.96	538132.58	29	Arteixo
PLAYA A SALSA	Coruña (A)	Galicia	4797000	538750	29	Arteixo
PLAYA COMBOUZAS	Coruña (A)	Galicia	4795879	537100	29	Arteixo
PLAYA GANDARÍO	Coruña (A)	Galicia	4799392.15	561663.34	29	Bergondo
PLAYA O PEDRIDO	Coruña (A)	Galicia	4797632.3	564154.61	29	Bergondo
PLAYA MAÑÓNS	Coruña (A)	Galicia	4720023.72	512251.05	29	Boiro
PLAYA CARRAGUEIROS	Coruña (A)	Galicia	4718037.06	510438.66	29	Boiro
PLAYA LADEIRA DO CHAZO	Coruña (A)	Galicia	4718093.57	511520.88	29	Boiro
PLAYA RETORTA	Coruña (A)	Galicia	4717438.62	511252.52	29	Boiro
PLAYA PORTOMOURO	Coruña (A)	Galicia	4720449.31	513421.12	29	Boiro
PLAYA RIBEIRA GRANDE	Coruña (A)	Galicia	4718014	509353	29	Boiro
PLAYA PIÑEIRÓN	Coruña (A)	Galicia	4717876	509915	29	Boiro
PLAYA PERALTO	Coruña (A)	Galicia	4720760.8	508222.84	29	Boiro
PLAYA A MAGDALENA	Coruña (A)	Galicia	4807943.5	567078.1	29	Cabanas
PLAYA CHAMOSO	Coruña (A)	Galicia	4808045.13	566503.29	29	Cabanas
PLAYA LINGUNDE	Coruña (A)	Galicia	4776293.91	486039.3	29	Camariñas
PLAYA AREA DA VILA	Coruña (A)	Galicia	4776339.84	485685.95	29	Camariñas
PLAYA LOBEIRAS	Coruña (A)	Galicia	4782674.91	490670.49	29	Camariñas
PLAYA O ARIÑO	Coruña (A)	Galicia	4775408	487314	29	Camariñas
PLAYA A AREIÑA BRANCA	Coruña (A)	Galicia	4775577	486620	29	Camariñas
PLAYA O LAGO - CAMARIÑAS	Coruña (A)	Galicia	4775612	483972	29	Camariñas
PLAYA AROU	Coruña (A)	Galicia	4781701.72	491479.75	29	Camariñas
PLAYA CAMELLE	Coruña (A)	Galicia	4781033.78	492705.9	29	Camariñas
PLAYA AREA LONGA - CAMARIÑAS	Coruña (A)	Galicia	4779303.05	485049.53	29	Camariñas
PLAYA RAZO	Coruña (A)	Galicia	4793310	523450	29	Carballo
PLAYA SAÍÑAS	Coruña (A)	Galicia	4794000	525300	29	Carballo
PLAYA RIA DE BALDAIO	Coruña (A)	Galicia	4794500	527200	29	Carballo
PLAYA PEDRA DO SAL	Coruña (A)	Galicia	4794645	527790	29	Carballo
PLAYA SAN MAMEDE (BOCA DO RIO) - CARNOTA	Coruña (A)	Galicia	4742786.78	491397.4	29	Carnota
PLAYA SAN PEDRO - CARNOTA	Coruña (A)	Galicia	4748956.38	488904.69	29	Carnota
PLAYA LARIÑO - CARNOTA	Coruña (A)	Galicia	4735437.95	490228	29	Carnota
PLAYA PORTO CUBELO	Coruña (A)	Galicia	4739501.72	489524.66	29	Carnota
PLAYA MAR DE LIRA	Coruña (A)	Galicia	4739936	490477.2	29	Carnota
PLAYA CALDEBARCOS	Coruña (A)	Galicia	4743781.97	490500.21	29	Carnota
PLAYA A INSUELA	Coruña (A)	Galicia	4744193.11	489159.76	29	Carnota
PLAYA PORTO QUILMAS	Coruña (A)	Galicia	4747964.52	488410.77	29	Carnota
PLAYA ARDELEIRO	Coruña (A)	Galicia	4737862.96	489135.19	29	Carnota
PLAYA AREA BLANCA	Coruña (A)	Galicia	4746963.3	487992.56	29	Carnota
PLAYA CORNA BECERRA	Coruña (A)	Galicia	4747510.95	488252.81	29	Carnota
PLAYA MAGDALENA	Coruña (A)	Galicia	4834283.05	576459.63	29	Cedeira
PLAYA AREA LONGA - CEDEIRA	Coruña (A)	Galicia	4834697.52	575305.02	29	Cedeira
PLAYA A CONCHA - CEE	Coruña (A)	Galicia	4755723	484665.41	29	Cee
PLAYA ESTORDE	Coruña (A)	Galicia	4754717.11	482269.02	29	Cee
PLAYA GURES	Coruña (A)	Galicia	4751156.92	487960.17	29	Cee
PLAYA LIRES	Coruña (A)	Galicia	4761300	479100	29	Cee
PLAYA QUENXE	Coruña (A)	Galicia	4754263.92	484582.72	29	Corcubión
PLAYA SANTA ISABEL	Coruña (A)	Galicia	4754980.86	484413.38	29	Corcubión
PLAYA RIAZOR	Coruña (A)	Galicia	4802158.95	547734.71	29	Coruña (A)
PLAYA ORZÁN	Coruña (A)	Galicia	4802622.45	548388.36	29	Coruña (A)
PLAYA SAN AMARO	Coruña (A)	Galicia	4803600.33	549007.87	29	Coruña (A)
PLAYA OZA - LAZARETO	Coruña (A)	Galicia	4799734.31	550162.12	29	Coruña (A)
PLAYA AS LAPAS	Coruña (A)	Galicia	4803831.98	548234.94	29	Coruña (A)
PLAYA PORTIÑO	Coruña (A)	Galicia	4802570	544930	29	Coruña (A)
PLAYA MATADERO	Coruña (A)	Galicia	4802893.78	548414.13	29	Coruña (A)
PLAYA ÉZARO	Coruña (A)	Galicia	4750994.3	489491.55	29	Dumbría
PLAYA ALMIEIRAS	Coruña (A)	Galicia	4808525.96	565906.23	29	Fene
PLAYA MANIÑOS	Coruña (A)	Galicia	4812399	564629	29	Fene
PLAYA BARALLOBRE	Coruña (A)	Galicia	4813035	565492	29	Fene
PLAYA COIDO	Coruña (A)	Galicia	4808636.01	565488.75	29	Fene
PLAYA RÍO SANDEU	Coruña (A)	Galicia	4808736.79	565114.76	29	Fene
PLAYA DONIÑOS	Coruña (A)	Galicia	4816456.94	555151.31	29	Ferrol
PLAYA SAN XURXO	Coruña (A)	Galicia	4819548	556419	29	Ferrol
PLAYA COBAS	Coruña (A)	Galicia	4821053	556601	29	Ferrol
PLAYA CARANZA	Coruña (A)	Galicia	4814299.83	564608.51	29	Ferrol
PLAYA A GRAÑA	Coruña (A)	Galicia	4814633.12	559953.26	29	Ferrol
PLAYA CARIÑO	Coruña (A)	Galicia	4813500.57	555401.51	29	Ferrol
PLAYA A FRAGATA	Coruña (A)	Galicia	4820835	556772	29	Ferrol
PLAYA ESMELLE	Coruña (A)	Galicia	4820333	556808	29	Ferrol
PLAYA O VILAR - FERROL	Coruña (A)	Galicia	4821211	556435	29	Ferrol
PLAYA SANTA COMBA	Coruña (A)	Galicia	4823148.45	557596.46	29	Ferrol
PLAYA PONZOS	Coruña (A)	Galicia	4823041.05	559239.15	29	Ferrol
PLAYA SAN FELIPE	Coruña (A)	Galicia	4813316.15	558521.05	29	Ferrol
PLAYA A CABANA	Coruña (A)	Galicia	4815719	560486	29	Ferrol
PLAYA SARDIÑEIRO	Coruña (A)	Galicia	4754595.07	481237.9	29	Fisterra
PLAYA LANGOSTEIRA	Coruña (A)	Galicia	4752785.62	479507.49	29	Fisterra
PLAYA RIVEIRA	Coruña (A)	Galicia	4757986.09	478561.28	29	Fisterra
PLAYA CORVEIRO	Coruña (A)	Galicia	4750985.88	477476.94	29	Fisterra
PLAYA LAXE	Coruña (A)	Galicia	4785429.86	499896.17	29	Laxe
PLAYA TRABA	Coruña (A)	Galicia	4782015.53	495898.16	29	Laxe
PLAYA ARNADO - BOAÑO - TRABA	Coruña (A)	Galicia	4784177.29	497398.03	29	Laxe
PLAYA SOESTO	Coruña (A)	Galicia	4785012.73	498497.49	29	Laxe
PLAYA CAIÓN	Coruña (A)	Galicia	4796196.41	531643.35	29	Laracha (A)
PLAYA PRAIA MAIOR	Coruña (A)	Galicia	4797039.33	515216.83	29	Malpica de Bergantiños
PLAYA ESTEIRO - MAÑON	Coruña (A)	Galicia	4845202.43	602912.02	29	Mañón
PLAYA BARES	Coruña (A)	Galicia	4847384.06	606699.14	29	Mañón
PLAYA VILELA	Coruña (A)	Galicia	4845547.74	605612.06	29	Mañón
PLAYA ALAMEDA	Coruña (A)	Galicia	4798904.54	564642.51	29	Miño
PLAYA MIÑO GRANDE	Coruña (A)	Galicia	4801477.01	564262.61	29	Miño
PLAYA PERBES - ANDAHÍO - MIÑO	Coruña (A)	Galicia	4803082.33	563741.38	29	Miño
PLAYA A RIBEIRA - MIÑO PEQUENA	Coruña (A)	Galicia	4800152	564090	29	Miño
PLAYA A CRUZ	Coruña (A)	Galicia	4772345.01	482839.3	29	Muxía
PLAYA AREA MAIOR	Coruña (A)	Galicia	4771021.15	484643.45	29	Muxía
PLAYA O LAGO - MUXÍA	Coruña (A)	Galicia	4772905	486530	29	Muxía
PLAYA NEMIÑA	Coruña (A)	Galicia	4762116.75	478779.02	29	Muxía
PLAYA LOURIDO - MUXIA	Coruña (A)	Galicia	4770836.59	482124.82	29	Muxía
PLAYA ESPIÑEIRIDO - MUXIA	Coruña (A)	Galicia	4772192.55	483187.76	29	Muxía
PLAYA PARAMEÁN	Coruña (A)	Galicia	4737607.03	502606.61	29	Muros
PLAYA O CABO	Coruña (A)	Galicia	4735281.38	496094.69	29	Muros
PLAYA SAN FRANCISCO	Coruña (A)	Galicia	4734263.16	494170.56	29	Muros
PLAYA O PORTO DO ANCORADOIRO - LARIÑO	Coruña (A)	Galicia	4733958	490971.5	29	Muros
PLAYA O PORTIÑO DO MAIO	Coruña (A)	Galicia	4737669.67	502439.74	29	Muros
PLAYA O ESPADANAL	Coruña (A)	Galicia	4734361.62	494983.64	29	Muros
PLAYA MEDRÓN-UÍA	Coruña (A)	Galicia	4737935.06	497248.38	29	Muros
PLAYA SOMORTO	Coruña (A)	Galicia	4736987.89	501646.08	29	Muros
PLAYA AREA LONGA - MUROS	Coruña (A)	Galicia	4736843.48	500141.15	29	Muros
PLAYA BORNALLE	Coruña (A)	Galicia	4738908.44	498645.03	29	Muros
PLAYA A VOUGA	Coruña (A)	Galicia	4734372.44	494743.42	29	Muros
PLAYA O FOGAREIRO	Coruña (A)	Galicia	4733808.83	493720.41	29	Muros
PLAYA A AREA MAIOR	Coruña (A)	Galicia	4733870.46	491850.24	29	Muros
