id	nombre	comunidad	municipio	provincia	lat	lon
0	PLAYA RASO - SESELLE	Galicia	Ares	Coruña (A)	-8.22310376017	43.4299771701
1	PLAYA ARES	Galicia	Ares	Coruña (A)	-8.23915877639	43.4300239172
2	PLAYA CHANTEIRO	Galicia	Ares	Coruña (A)	-8.30264001895	43.4486960832
3	PLAYA VALCOBO	Galicia	Arteixo	Coruña (A)	-8.53308848465	43.3185854859
4	PLAYA O REIRO	Galicia	Arteixo	Coruña (A)	-8.55833147723	43.3139770824
5	PLAYA A HUCHA	Galicia	Arteixo	Coruña (A)	-8.52971121864	43.3206153249
6	PLAYA A SALSA	Galicia	Arteixo	Coruña (A)	-8.52206345227	43.3248431389
7	PLAYA COMBOUZAS	Galicia	Arteixo	Coruña (A)	-8.54248939141	43.3148325537
8	PLAYA GANDARÍO	Galicia	Bergondo	Coruña (A)	-8.23920489925	43.3448512979
9	PLAYA O PEDRIDO	Galicia	Bergondo	Coruña (A)	-8.20867652105	43.3287975109
10	PLAYA MAÑÓNS	Galicia	Boiro	Coruña (A)	-8.85058302201	42.6325633982
11	PLAYA CARRAGUEIROS	Galicia	Boiro	Coruña (A)	-8.8727237904	42.6146989051
12	PLAYA LADEIRA DO CHAZO	Galicia	Boiro	Coruña (A)	-8.85952742088	42.6151923972
13	PLAYA RETORTA	Galicia	Boiro	Coruña (A)	-8.86281243534	42.6092980943
14	PLAYA PORTOMOURO	Galicia	Boiro	Coruña (A)	-8.83630255503	42.6363766042
15	PLAYA RIBEIRA GRANDE	Galicia	Boiro	Coruña (A)	-8.88596134799	42.6145051745
16	PLAYA PIÑEIRÓN	Galicia	Boiro	Coruña (A)	-8.87911144888	42.6132553653
17	PLAYA PERALTO	Galicia	Boiro	Coruña (A)	-8.8997013639	42.6392548244
18	PLAYA A MAGDALENA	Galicia	Cabanas	Coruña (A)	-8.17135674998	43.4213797532
19	PLAYA CHAMOSO	Galicia	Cabanas	Coruña (A)	-8.17844451921	43.4223460235
20	PLAYA LINGUNDE	Galicia	Camariñas	Coruña (A)	-9.17166756531	43.1392603436
21	PLAYA AREA DA VILA	Galicia	Camariñas	Coruña (A)	-9.17601369549	43.139667334
22	PLAYA LOBEIRAS	Galicia	Camariñas	Coruña (A)	-9.11482791968	43.1967912845
23	PLAYA O ARIÑO	Galicia	Camariñas	Coruña (A)	-9.15597301738	43.1313053053
24	PLAYA A AREIÑA BRANCA	Galicia	Camariñas	Coruña (A)	-9.16450971865	43.132815175
25	PLAYA O LAGO - CAMARIÑAS	Galicia	Camariñas	Coruña (A)	-9.19706823578	43.1330789029
26	PLAYA AROU	Galicia	Camariñas	Coruña (A)	-9.10485253456	43.1880374942
27	PLAYA CAMELLE	Galicia	Camariñas	Coruña (A)	-9.08975440377	43.1820356702
28	PLAYA AREA LONGA - CAMARIÑAS	Galicia	Camariñas	Coruña (A)	-9.18391943604	43.166338149
29	PLAYA RAZO	Galicia	Carballo	Coruña (A)	-8.71092567671	43.2922494702
30	PLAYA SAÍÑAS	Galicia	Carballo	Coruña (A)	-8.68808880555	43.2984026604
31	PLAYA RIA DE BALDAIO	Galicia	Carballo	Coruña (A)	-8.66464028014	43.3028386163
32	PLAYA PEDRA DO SAL	Galicia	Carballo	Coruña (A)	-8.65735872693	43.3041227019
33	PLAYA SAN MAMEDE (BOCA DO RIO) - CARNOTA	Galicia	Carnota	Coruña (A)	-9.10526575723	42.8376053833
34	PLAYA SAN PEDRO - CARNOTA	Galicia	Carnota	Coruña (A)	-9.13588954574	42.893132242
35	PLAYA LARIÑO - CARNOTA	Galicia	Carnota	Coruña (A)	-9.11944771222	42.7714123298
36	PLAYA PORTO CUBELO	Galicia	Carnota	Coruña (A)	-9.12812039945	42.8079989151
37	PLAYA MAR DE LIRA	Galicia	Carnota	Coruña (A)	-9.11647756211	42.8119222101
38	PLAYA CALDEBARCOS	Galicia	Carnota	Coruña (A)	-9.11626100843	42.8465567701
39	PLAYA A INSUELA	Galicia	Carnota	Coruña (A)	-9.13267368262	42.8502413794
40	PLAYA PORTO QUILMAS	Galicia	Carnota	Coruña (A)	-9.1419183234	42.8841929659
41	PLAYA ARDELEIRO	Galicia	Carnota	Coruña (A)	-9.13285228838	42.7932358279
42	PLAYA AREA BLANCA	Galicia	Carnota	Coruña (A)	-9.14701817722	42.8751702658
43	PLAYA CORNA BECERRA	Galicia	Carnota	Coruña (A)	-9.14384316054	42.8801060413
44	PLAYA MAGDALENA	Galicia	Cedeira	Coruña (A)	-8.05176815068	43.6576161991
45	PLAYA AREA LONGA - CEDEIRA	Galicia	Cedeira	Coruña (A)	-8.06602758211	43.6614655282
46	PLAYA A CONCHA - CEE	Galicia	Cee	Coruña (A)	-9.18799497528	42.9539933575
47	PLAYA ESTORDE	Galicia	Cee	Coruña (A)	-9.2173415423	42.9448831929
48	PLAYA GURES	Galicia	Cee	Coruña (A)	-9.1475047298	42.9129342604
49	PLAYA LIRES	Galicia	Cee	Coruña (A)	-9.25643235755	43.0040820415
50	PLAYA QUENXE	Galicia	Corcubión	Coruña (A)	-9.18896851577	42.940852491
51	PLAYA SANTA ISABEL	Galicia	Corcubión	Coruña (A)	-9.19106405705	42.9473051829
52	PLAYA RIAZOR	Galicia	Coruña (A)	Coruña (A)	-8.41080348669	43.3707778831
53	PLAYA ORZÁN	Galicia	Coruña (A)	Coruña (A)	-8.40269485903	43.3749093882
54	PLAYA SAN AMARO	Galicia	Coruña (A)	Coruña (A)	-8.39496050685	43.383674009
55	PLAYA OZA - LAZARETO	Galicia	Coruña (A)	Coruña (A)	-8.38106524682	43.3487881358
56	PLAYA AS LAPAS	Galicia	Coruña (A)	Coruña (A)	-8.40448198854	43.3858098755
57	PLAYA PORTIÑO	Galicia	Coruña (A)	Coruña (A)	-8.44538706316	43.3746521371
58	PLAYA MATADERO	Galicia	Coruña (A)	Coruña (A)	-8.40235277833	43.377350783
59	PLAYA ÉZARO	Galicia	Dumbría	Coruña (A)	-9.12874018801	42.9114924698
60	PLAYA ALMIEIRAS	Galicia	Fene	Coruña (A)	-8.18576160399	43.4267279437
61	PLAYA MANIÑOS	Galicia	Fene	Coruña (A)	-8.20108083115	43.4617101951
62	PLAYA BARALLOBRE	Galicia	Fene	Coruña (A)	-8.19033736928	43.4673613448
63	PLAYA COIDO	Galicia	Fene	Coruña (A)	-8.19090565477	43.4277553967
64	PLAYA RÍO SANDEU	Galicia	Fene	Coruña (A)	-8.19551372493	43.4286953771
65	PLAYA DONIÑOS	Galicia	Ferrol	Coruña (A)	-8.31782060974	43.4990053221
66	PLAYA SAN XURXO	Galicia	Ferrol	Coruña (A)	-8.301820615	43.5267413821
